MARKED CIS HYMNS — identity & match status (123)
num | title | first line | tune(name/bracket) | already-have?
 520 | Lift him up, 'tis he that bi | Lift him up, 'tis he that bids | Lift him up, 'tis (bracket) | --
 524 | Are you heavy laden and with | Are you heavy laden and with s | Are you heavy lade(bracket) | --
 525 | More about Jesus I would kno | More about Jesus I would know, | More about Jesus I(bracket) | --
 528 | The Lord is my light         | The Lord is my light; then why | The Lord is my lig(bracket) | --
 532 | Seeking the lost, yes, kindl | Seeking the lost, yes, kindly  | Seeking the lost, (bracket) | --
 535 | Anywhere with Jesus I can sa | Anywhere with Jesus I can safe | Anywhere with Jesu(bracket) | --
 538 | Life is not a cloudless jour | Life is not a cloudless journe | Life is not a clou(bracket) | --
 548 | O where are the reapers that | O where are the reapers that g | O where are the re(bracket) | --
 551 | The home where changes never | The home where changes never c | The home where cha(bracket) | --
 552 | I am thinking today of that  | I am thinking today of that be | I am thinking toda(bracket) | --
 561 | Hark!  'tis the Shepherd's v | Hark!  'tis the Shepherd's voi | Hark!  'tis the Sh(bracket) | --
 564 | Will your anchor hold in the | Will your anchor hold in the s | Will your anchor h(bracket) | --
 566 | It may not be on the mountai | It may not be on the mountain' | It may not be on t(bracket) | --
 567 | 'Tis love that makes us happ | 'Tis love that makes us happy, | 'Tis love that mak(bracket) | --
 576 | To the work!  to the work!   | To the work!  to the work!  we | To the work!  to t(bracket) | --
 583 | Sowing in the morning, sowin | Sowing in the morning, sowing  | Sowing in the morn(bracket) | --
 586 | Look for the way-marks as yo | Look for the way-marks as you  | Look for the way-m(bracket) | --
 594 | Give of your best to the Mas | Give of your best to the Maste | Give of your best (bracket) | --
 611 | All the way my Saviour leads | All the way my Saviour leads m | All the way my Sav(bracket) | --
 634 | Jesus, lover of my soul      | Jesus, lover of my soul,       | REFUGE            (named) | --
 647 | Saviour, breathe an evening  | Saviour, breathe an evening bl | Saviour, breathe a(named) | --
 654 | Rock of Ages, cleft for me!  | Rock of Ages, cleft for me!    | Rock of Ages, clef(bracket) | --
 677 | He leadeth me!  O blessed th | He leadeth me!  O blessed tho' | He leadeth me!  O (bracket) | --
 683 | Watchman, blow the gospel tr | Watchman, blow the gospel trum | Watchman, blow the(bracket) | --
 720 | Work, for the night is comin | Work, for the night is coming, | WORK              (named) | --
 722 | Carry the joyful tidings     | Carry the joyful tidings       | WORK              (named) | --
 729 | Saviour, like a shepherd lea | . Saviour, like a shepherd lea | SHEPHERD          (named) | --
 734 | Watchman, tell me, does the  | Watchman, tell me, does the mo | DAWNING           (named) | --
 741 | Sweet hour of pray'r, sweet  | Sweet hour of pray'r, sweet ho | Sweet hour of pray(bracket) | --
 845 | How far from home!  I asked, | . How far from home?  I asked, | How far from home?(bracket) | --
 847 | A thrilling cry--we hear the | . A thrilling cry--we hear the |                   (none) | --
 852 | When He cometh, when he come | . When He cometh, when he come | When He cometh, wh(bracket) | --
 854 | There'll be no dark valley w | . There'll be no dark valley w | There'll be no dar(bracket) | --
 855 | The Homeland!  O the Homelan | . The Homeland!  O the Homelan | The Homeland!  O t(bracket) | --
 861 | Face to face with Christ my  | . Face to face with Christ my  | Face to face with (bracket) | --
 862 | In the land of fadeless day  | . In the land of fadeless day, | In the land of fad(bracket) | --
 863 | O there'll be joy when the w | . O there'll be joy when the w | O there'll be joy (bracket) | --
 865 | When the trumpet of the Lord | . When the trumpet of the Lord | When the trumpet o(bracket) | --
 867 | It maybe at morn, when the d | . It may be at morn, when the  | It may be at morn,(bracket) | --
 870 | "We would see Jesus;" for th | . "We would see Jesus;" for th | "We would see Jesu(bracket) | --
 877 | Watch, ye saints, with eyeli | . Watch, ye saints, with eyeli | Watch, ye saints, (bracket) | --
 878 | We know not the hour of the  | . We know not the hour of the  | We know not the ho(bracket) | --
 879 | There's a land that is faire | . There's a land that is faire | There's a land tha(bracket) | --
 887 | Come, we that love the Lord  | . Come, we that love the Lord, | Come, we that love(bracket) | --
 892 | The golden morning is fast a | . The golden morning is fast a | The golden morning(bracket) | --
 894 | Sweet promise is giv'n to al | . Sweet promise is giv'n to al | Sweet promise is g(bracket) | --
 905 | On Jordan's stormy banks I s | . On Jordan's stormy banks I s | On Jordan's stormy(bracket) | --
 907 | Shall we gather at the river | . Shall we gather at the river | Shall we gather at(bracket) | --
 913 | "This same Jesus!"  O how sw | . "This same Jesus!"  O how sw | DEERHURST         (named) | --
 914 | How sweet are the tidings th | . How sweet are the tidings th | How sweet are the (bracket) | --
 929 | Lift up the trumpet, and lou | . Lift up the trumpet, and lou | Lift up the trumpe(bracket) | --
 930 | The coming King is at the do | . The coming King is at the do | The coming King is(bracket) | --
